Event Winner,Podiums,Top 10s,Hot Rounds,Birdies,Eagles Or Better,Bogeys,Double or Worse,Total Score
0,3,2,0.5,5.25,0.25,-1.75,-7.75,1.5
5,3,2,0.5,11,4.5,-1.25,-9.75,15
5,6,1,1.5,9.75,1,-1,-6.75,16.5
5,0,1,1.5,2.75,4.5,-0.75,-4.5,9.5
0,6,2,1,10.5,0,-1,-5,13.5
0,3,2,0,7,0.5,-2.25,-10.25,0
0,0,2,0.5,5.5,0,-1.5,-7.25,-0.75
0,6,3,0.5,7.25,0.25,-2.5,-14.25,0.25
5,3,1,1.5,8,8.5,-1,-7.75,18.25
0,0,0,0,0,0,0,0,0
5,0,3,0,8.25,0.25,-0.75,-6.5,9.25
5,0,3,2,10.25,1.25,-1,-8.5,12
5,6,2,1,8.5,4.75,-0.25,-3.25,23.75
0,0,0,0,0,0,0,0,0
5,0,2,1,7,5.5,-1.5,-6.25,12.75
0,6,0,0.5,3.5,0.25,-1,-5,4.25
0,3,3,1,8.5,0,-1,-6,8.5
0,0,3,0,5,0,-1,-5.25,1.75
5,3,1,1.5,9.75,4.5,-2.25,-12,10.5
5,3,2,1.5,10,4.25,-1.25,-7.25,17.25
5,6,2,1.5,14,0,-1.5,-8.75,18.25
5,6,1,1.5,7.75,5.25,-1.25,-7.5,17.75
0,0,4,1.5,13,0,-3.25,-16,-0.75
5,0,3,1.5,11,0,-1.25,-7.75,11.5
5,3,1,2,13.25,2.25,-1.75,-9.25,15.5
5,6,1,2,10.75,0,-1.75,-9.25,13.75
5,3,0,1.5,6.75,6,-0.75,-5,16.5
0,3,0,0,4,0,-1.5,-6.75,-1.25
5,6,1,4,11.75,1.25,-0.5,-6.5,22
