Event Winner,Podiums,Top 10s,Hot Rounds,Birdies,Eagles Or Better,Bogeys,Double or Worse,Total Score
0,25,20,5,36,2,-12,-62,14
50,25,20,5,71,36,-14,-78,115
50,50,10,15,62,8,-10,-54,131
50,0,10,15,21,36,-7,-36,89
0,50,20,10,65,0,-6,-40,99
0,25,20,0,46,4,-18,-82,-5
0,0,20,5,38,0,-12,-58,-7
0,50,30,5,52,2,-25,-114,0
50,25,10,15,51,68,-13,-62,144
0,0,0,0,0,0,0,0,0
50,0,30,0,56,2,-7,-52,79
50,0,30,20,67,10,-11,-68,98
50,50,20,10,54,38,-2,-26,194
0,0,0,0,0,0,0,0,0
50,0,20,10,45,44,-9,-50,110
0,50,0,5,21,2,-8,-40,30
0,25,30,10,54,0,-10,-48,61
0,0,30,0,31,0,-9,-42,10
50,25,10,15,61,36,-21,-96,80
50,25,20,15,65,34,-9,-58,142
50,50,20,15,86,0,-11,-70,140
50,50,10,15,51,42,-11,-60,147
0,0,40,15,83,0,-27,-128,-17
50,0,30,15,69,0,-12,-62,90
50,25,10,20,82,18,-13,-74,118
50,50,10,20,68,0,-12,-74,112
50,25,0,15,45,48,-6,-40,137
0,25,0,0,27,0,-12,-54,-14
50,50,10,40,76,10,-8,-52,176
