Event Winner,Podiums,Top 10s,Hot Rounds,Birdies,Eagles Or Better,Bogeys,Double or Worse,Total Score
50,50,10,20,49,2,-7,-40,134
50,0,30,10,70,38,-9,-58,131
50,25,20,0,54,14,-10,-56,97
0,25,10,5,19,0,-10,-52,-3
50,25,0,20,63,0,-10,-52,96
50,25,10,15,56,8,-12,-60,92
50,25,20,10,45,2,-11,-58,83
50,25,20,5,52,6,-24,-118,16
0,0,30,10,44,6,-14,-74,2
50,25,0,10,26,36,-3,-20,124
0,25,10,5,47,2,-7,-38,44
0,50,10,5,52,2,-10,-56,53
50,25,0,10,40,16,-7,-34,100
50,25,0,10,24,0,-5,-26,78
50,50,10,5,60,38,-5,-24,184
0,0,10,5,24,2,-11,-50,-20
50,0,10,0,38,0,-4,-26,68
50,0,20,20,52,6,-8,-40,100
50,25,20,25,63,38,-16,-86,119
50,25,10,15,50,70,-13,-58,149
50,0,10,10,48,4,-12,-60,50
0,0,20,5,40,6,-9,-52,10
50,25,10,35,92,74,-21,-108,157
50,75,0,20,81,0,-13,-70,143
50,25,20,30,77,20,-12,-70,140
0,50,10,5,68,0,-18,-90,25
0,25,20,10,49,12,-9,-42,65
50,25,0,15,30,36,-8,-38,110
0,50,20,15,69,10,-14,-76,74
