Event Winner,Podiums,Top 10s,Hot Rounds,Birdies,Eagles Or Better,Bogeys,Double or Worse,Total Score
0,25,20,5,36,1,-12,-31,44
50,25,20,5,71,18,-14,-39,136
50,50,10,15,62,4,-10,-27,154
50,0,10,15,21,18,-7,-18,89
0,50,20,10,65,0,-6,-20,119
0,25,20,0,46,2,-18,-41,34
0,0,20,5,38,0,-12,-29,22
0,50,30,5,52,1,-25,-57,56
50,25,10,15,51,34,-13,-31,141
0,0,0,0,0,0,0,0,0
50,0,30,0,56,1,-7,-26,104
50,0,30,20,67,5,-11,-34,127
50,50,20,10,54,19,-2,-13,188
0,0,0,0,0,0,0,0,0
50,0,20,10,45,22,-9,-25,113
0,50,0,5,21,1,-8,-20,49
0,25,30,10,54,0,-10,-24,85
0,0,30,0,31,0,-9,-21,31
50,25,10,15,61,18,-21,-48,110
50,25,20,15,65,17,-9,-29,154
50,50,20,15,86,0,-11,-35,175
50,50,10,15,51,21,-11,-30,156
0,0,40,15,83,0,-27,-64,47
50,0,30,15,69,0,-12,-31,121
50,25,10,20,82,9,-13,-37,146
50,50,10,20,68,0,-12,-37,149
50,25,0,15,45,24,-6,-20,133
0,25,0,0,27,0,-12,-27,13
50,50,10,40,76,5,-8,-26,197
